Talker,Listener,Chat Time (Seconds)
Connor,Cheyenne,651
Connor,Caitlyn,36
Connor,Kadence,526
Kadence,Caitlyn,36
Kadence,Connor,765
Emilee,Aaliyah,312
Emilee,Madyson,42
Emilee,Zoe,1254
Zoe,Sofia,32
Zoe,Alyson,51
Zoe,Madyson,42
Zoe,Alan,842
Zoe,Emilee,288
Albert,Samara,747
Albert,Julianna,454
Albert,Julius,1453
Albert,Jack,1456
Jack,Janiyah,674
Jack,Samara,747
Jack,Alayna,538
Jack,Albert,546
Julius,Kyla,457
Julius,Alayna,538
Julius,Julianna,454
Julius,Albert,546
Julianna,Aniyah,421
Julianna,Clayton,1468
Julianna,Julius,1453
Julianna,Albert,546
Clayton,Aniyah,421
Clayton,Tony,431
Clayton,Kyla,457
Clayton,Julianna,454
Nina,Meredith,243
Nina,Abby,120
Nina,Finn,950
Nina,Amber,1023
Amber,Israel,44
Amber,Meredith,243
Amber,Jackson,945
Amber,Finn,950
Amber,Nina,1560
Finn,Israel,44
Finn,Jackson,945
Finn,Abby,120
Finn,Amber,1023
Finn,Nina,1560
Alan,Caitlin,87
Alan,Stephen,42
Alan,Sofia,32
Alan,Alyson,51
Alan,Lana,38
Alan,Zoe,1254
Romeo,Aden,416
Romeo,Hayley,48
Romeo,Alijah,429
Alijah,Hayley,48
Alijah,Anderson,342
Alijah,Romeo,350
Anderson,Alejandro,49
Anderson,Sophia,321
Anderson,Abby,120
Anderson,Alijah,429
Abby,Alejandro,49
Abby,Sophia,321
Abby,Anderson,342
Abby,Finn,950
Abby,Nina,1560
Sophia,Alejandro,49
Sophia,Lexi,843
Sophia,Abby,120
Sophia,Anderson,342
Hailey,Collin,46
Hailey,Rylee,195
Lexi,Nancy,48
Lexi,Calvin,166
Lexi,Sophia,321
Calvin,Nancy,48
Calvin,Dorian,75
Calvin,Lexi,843
Rylee,Johanna,332
Rylee,Collin,46
Rylee,Hailey,629
Alayna,Janiyah,674
Alayna,Kyla,457
Alayna,Julius,1453
Alayna,Jack,1456
Kyla,Tony,431
Kyla,Alayna,538
Kyla,Clayton,1468
Kyla,Julius,1453
Tony,Mitchell,471
Tony,Trinity,1464
Tony,Kyla,457
Tony,Clayton,1468
Dorian,John,182
Dorian,Calvin,166
Ayden,Camila,356
Ayden,Preston,148
Ayden,Moises,250
Ayden,Pedro,349
Pedro,Dominic,1741
Pedro,Lydia,257
Pedro,Makenna,193
Pedro,Preston,148
Pedro,Ayden,259
Moises,Camila,356
Moises,Ayden,259
Savanna,Mason,635
Savanna,Beckett,350
Savanna,Preston,148
Preston,Beckett,350
Preston,Savanna,269
Preston,Pedro,349
Preston,Ayden,259
Beckett,Amari,1735
Beckett,Makenna,193
Beckett,Preston,148
Beckett,Savanna,269
Makenna,Dominic,1741
Makenna,Amari,1735
Makenna,Lydia,257
Makenna,Beckett,350
Makenna,Pedro,349
Lydia,Dominic,1741
Lydia,Donald,48
Lydia,Camila,356
Lydia,Makenna,193
Lydia,Pedro,349
Camila,Donald,48
Camila,Lydia,257
Camila,Moises,250
Camila,Ayden,259
Donald,Lindsay,1697
Donald,Aiden,201
Donald,Camila,356
Donald,Lydia,257
Aiden,Lindsay,1697
Aiden,Donald,48
Lindsay,Carly,1079
Lindsay,Lauren,350
Lindsay,Derek,313
Lindsay,Aiden,201
Lindsay,Donald,48
Desmond,Jude,46
Desmond,Shawn,348
Desmond,Erica,526
Desmond,Malia,473
Aniyah,Malia,473
Aniyah,Trinity,1464
Aniyah,Clayton,1468
Aniyah,Julianna,454
Trinity,Mitchell,471
Trinity,Malia,473
Trinity,Aniyah,421
Trinity,Tony,431
